Sn_ad_mg_per_cm2,Sn_ad_unc_mg_per_cm2,Sn_NT_atoms_per_cm2,Sn_NT_unc_atoms_per_cm2
37.475,0.436,1.9014215602072627e+20,2.212194263509984e+18
37.211,0.166,1.8880266224649087e+20,8.422574489510491e+17
37.13,0.141,1.883916812021232e+20,7.154114476029993e+17
36.99,0.298,1.8768134359457412e+20,1.5120043360687503e+18
8.004,0.019,4.061101579159153e+19,9.640296102451765e+16
7.816,0.026,3.965713386145421e+19,1.319198414019715e+17
7.917,0.017,4.016959170690033e+19,8.625528091667371e+16
8.047,0.018,4.082919091391019e+19,9.132912097059566e+16
7.829,0.01,3.972309378215519e+19,5.0738400539219816e+16
8.232,0.012,4.176785132388576e+19,6.0886080647063784e+16
7.982,0.019,4.0499391310405255e+19,9.640296102451765e+16
8.021,0.023,4.0697271072508215e+19,1.1669832124020558e+17
7.354,0.026,3.7313019756542255e+19,1.319198414019715e+17
7.62,0.013,3.86626612108855e+19,6.595992070098575e+16
